fecha,apertura,maximo,minimo,cierre,volumen,openint
"2007-08-22","","","","465","","0"
"2007-08-23","","","","471","","0"
"2007-08-24","","","","462","","0"
"2007-08-27","","","","448","","0"
"2007-08-28","","","","465","","0"
"2007-08-29","","","","459","","0"
"2007-08-30","","","","467","","0"
"2007-08-31","","","","450","","0"
"2007-09-03","","","","450","","0"
"2007-09-04","","","","449","","0"
"2007-09-05","","","","465","","0"
"2007-09-06","","","","454","","0"
"2007-09-07","","","","463","","0"
"2007-09-10","","","","477","","0"
"2007-09-11","","","","471","","0"
"2007-09-12","","","","460","","0"
"2007-09-13","","","","440","","0"
"2007-09-14","","","","439","","0"
"2007-09-17","","","","440","","0"
"2007-09-18","","","","405","","0"
"2007-09-19","","","","395","","0"
"2007-09-20","","","","394","","0"
"2007-09-21","","","","377","","0"
"2007-09-24","","","","388","","0"
"2007-09-25","","","","392","","0"
"2007-09-26","","","","392","","0"
"2007-09-27","","","","391","","0"
"2007-09-28","","","","398","","0"
"2007-10-01","","","","395","","0"
"2007-10-02","","","","393","","0"
"2007-10-03","","","","402","","0"
"2007-10-04","","","","405","","0"
"2007-10-05","","","","388","","0"
"2007-10-08","","","","388","","0"
"2007-10-09","","","","370","","0"
"2007-10-10","","","","372","","0"
"2007-10-11","","","","354","","0"
"2007-10-12","","","","350","","0"
"2007-10-15","","","","354","","0"
"2007-10-16","","","","355","","0"
"2007-10-17","","","","366","","0"
"2007-10-18","","","","364","","0"
"2007-10-19","","","","386","","0"
"2007-10-22","","","","388","","0"
"2007-10-23","","","","388","","0"
"2007-10-24","","","","395","","0"
"2007-10-25","","","","382","","0"
"2007-10-26","","","","352","","0"
"2007-10-29","","","","350","","0"
"2007-10-30","","","","341","","0"
"2007-10-31","","","","312","","0"
"2007-11-01","","","","329","","0"
"2007-11-02","","","","341","","0"
"2007-11-05","","","","355","","0"
"2007-11-06","","","","345","","0"
"2007-11-07","","","","360","","0"
"2007-11-08","","","","385","","0"
"2007-11-09","","","","387","","0"
"2007-11-13","","","","383","","0"
"2007-11-14","","","","373","","0"
"2007-11-15","","","","399","","0"
"2007-11-16","","","","404","","0"
"2007-11-19","","","","425","","0"
"2007-11-20","","","","413","","0"
"2007-11-21","","","","441","","0"
"2007-11-23","","","","445","","0"
"2007-11-26","","","","471","","0"
"2007-11-27","","","","454","","0"
"2007-11-28","","","","420","","0"
"2007-11-29","","","","412","","0"
"2007-11-30","","","","401","","0"
"2007-12-03","","","","407","","0"
"2007-12-04","","","","411","","0"
"2007-12-05","","","","406","","0"
"2007-12-06","","","","387","","0"
"2007-12-07","","","","369","","0"
"2007-12-10","","","","357","","0"
"2007-12-11","","","","378","","0"
"2007-12-12","","","","380","","0"
"2007-12-13","","","","384","","0"
"2007-12-14","","","","388","","0"
"2007-12-17","","","","403","","0"
"2007-12-18","","","","405","","0"
"2007-12-19","","","","412","","0"
"2007-12-20","","","","413","","0"
"2007-12-21","","","","399","","0"
"2007-12-24","","","","393","","0"
"2007-12-26","","","","390","","0"
"2007-12-27","","","","392","","0"
"2007-12-28","","","","401","","0"
"2007-12-31","","","","410","","0"
"2008-01-02","","","","423","","0"
"2008-01-03","","","","422","","0"
"2008-01-04","","","","436","","0"
"2008-01-07","","","","428","","0"
"2008-01-08","","","","419","","0"
"2008-01-09","","","","437","","0"
"2008-01-10","","","","421","","0"
"2008-01-11","","","","414","","0"
"2008-01-14","","","","416","","0"
"2008-01-15","","","","426","","0"
"2008-01-16","","","","431","","0"
"2008-01-17","","","","446","","0"
"2008-01-18","","","","454","","0"
"2008-01-22","","","","473","","0"
"2008-01-23","","","","487","","0"
"2008-01-24","","","","455","","0"
"2008-01-25","","","","468","","0"
"2008-01-28","","","","470","","0"
"2008-01-29","","","","466","","0"
"2008-01-30","","","","451","","0"
"2008-01-31","","","","466","","0"
"2008-02-01","","","","462","","0"
"2008-02-04","","","","453","","0"
"2008-02-05","","","","470","","0"
"2008-02-06","","","","470","","0"
"2008-02-07","","","","464","","0"
"2008-02-08","","","","489","","0"
"2008-02-11","","","","497","","0"
"2008-02-12","","","","479","","0"
"2008-02-13","","","","476","","0"
"2008-02-14","","","","474","","0"
"2008-02-15","","","","487","","0"
"2008-02-19","","","","479","","0"
